,id,age,gender_female,gender_male,race_asian,race_black,race_mexican_american,race_other,race_other_hispanic,race_white
0,109263.0,2.0,0,1,1,0,0,0,0,0
1,109264.0,13.0,1,0,0,0,1,0,0,0
2,109265.0,2.0,0,1,0,0,0,0,0,1
3,109266.0,29.0,1,0,1,0,0,0,0,0
4,109267.0,21.0,1,0,0,0,0,0,1,0
5,109268.0,18.0,1,0,0,0,0,0,0,1
6,109269.0,2.0,0,1,0,0,0,0,1,0
7,109270.0,11.0,1,0,0,1,0,0,0,0
8,109271.0,49.0,0,1,0,0,0,0,0,1
9,109272.0,5.397605346934028e-79,0,1,0,0,1,0,0,0
10,109273.0,36.0,0,1,0,0,0,0,0,1
11,109274.0,68.0,0,1,0,0,0,1,0,0
12,109275.0,6.0,0,1,0,0,0,0,0,1
13,109276.0,5.397605346934028e-79,0,1,0,1,0,0,0,0
14,109277.0,12.0,1,0,0,0,1,0,0,0
15,109278.0,6.0,1,0,0,0,0,0,1,0
16,109279.0,17.0,1,0,0,0,0,0,0,1
17,109280.0,2.0,1,0,0,0,1,0,0,0
18,109281.0,5.397605346934028e-79,1,0,0,0,1,0,0,0
19,109282.0,76.0,0,1,0,0,0,0,0,1
20,109283.0,52.0,0,1,0,0,0,1,0,0
21,109284.0,44.0,1,0,0,0,1,0,0,0
22,109285.0,16.0,0,1,0,1,0,0,0,0
23,109286.0,33.0,1,0,1,0,0,0,0,0
24,109287.0,11.0,1,0,0,0,0,0,0,1
25,109288.0,5.0,0,1,0,0,0,0,1,0
26,109289.0,2.0,0,1,0,0,0,1,0,0
27,109290.0,68.0,1,0,0,1,0,0,0,0
28,109291.0,42.0,1,0,1,0,0,0,0,0
29,109292.0,58.0,0,1,0,0,0,0,1,0
30,109293.0,44.0,0,1,0,0,0,0,0,1
31,109294.0,5.397605346934028e-79,1,0,0,0,0,1,0,0
32,109295.0,54.0,1,0,0,0,1,0,0,0
33,109296.0,10.0,0,1,0,1,0,0,0,0
34,109297.0,30.0,1,0,1,0,0,0,0,0
35,109298.0,68.0,0,1,0,0,0,0,0,1
36,109299.0,4.0,1,0,0,0,0,1,0,0
37,109300.0,54.0,1,0,1,0,0,0,0,0
38,109301.0,6.0,1,0,0,1,0,0,0,0
39,109302.0,11.0,1,0,0,1,0,0,0,0
40,109303.0,18.0,0,1,1,0,0,0,0,0
41,109304.0,9.0,1,0,0,0,0,0,0,1
42,109305.0,55.0,0,1,1,0,0,0,0,0
43,109306.0,2.0,0,1,0,0,0,0,0,1
44,109307.0,47.0,0,1,1,0,0,0,0,0
45,109308.0,1.0,0,1,0,1,0,0,0,0
46,109309.0,5.0,0,1,0,0,0,0,1,0
47,109310.0,8.0,0,1,1,0,0,0,0,0
48,109311.0,36.0,1,0,0,0,0,0,1,0
49,109312.0,48.0,1,0,0,0,0,0,0,1
50,109313.0,63.0,0,1,0,0,0,0,0,1
51,109314.0,5.397605346934028e-79,0,1,0,1,0,0,0,0
52,109315.0,30.0,1,0,0,1,0,0,0,0
53,109316.0,62.0,1,0,0,1,0,0,0,0
54,109317.0,28.0,1,0,0,1,0,0,0,0
55,109318.0,5.0,1,0,0,1,0,0,0,0
56,109319.0,22.0,0,1,0,1,0,0,0,0
57,109320.0,11.0,1,0,0,0,0,1,0,0
58,109321.0,19.0,1,0,0,1,0,0,0,0
59,109322.0,45.0,1,0,0,0,1,0,0,0
60,109323.0,22.0,0,1,0,0,1,0,0,0
61,109324.0,49.0,1,0,0,0,0,0,0,1
62,109325.0,7.0,0,1,1,0,0,0,0,0
63,109326.0,44.0,1,0,0,0,0,0,0,1
64,109327.0,58.0,1,0,0,0,1,0,0,0
65,109328.0,2.0,0,1,0,0,0,1,0,0
66,109329.0,5.397605346934028e-79,0,1,0,1,0,0,0,0
67,109330.0,76.0,0,1,1,0,0,0,0,0
68,109331.0,19.0,1,0,0,0,1,0,0,0
69,109332.0,33.0,0,1,0,0,0,0,1,0
70,109333.0,41.0,1,0,0,0,0,0,1,0
71,109334.0,54.0,1,0,0,0,0,0,0,1
72,109335.0,55.0,1,0,0,1,0,0,0,0
73,109336.0,35.0,0,1,0,0,1,0,0,0
74,109337.0,48.0,1,0,0,1,0,0,0,0
75,109338.0,10.0,1,0,0,0,1,0,0,0
76,109339.0,14.0,0,1,0,0,1,0,0,0
77,109340.0,44.0,0,1,0,0,0,1,0,0
78,109341.0,5.0,1,0,0,0,0,0,0,1
